Number,Company,Symbol,YTD Return
352,Host Hotels & Resorts,HST,-5.11
353,Kimco Realty,KIM,-5.15
354,J.M. Smucker Company (The),SJM,-5.49
355,PNC Financial Services,PNC,-5.50
356,Elevance Health,ELV,-5.73
357,Synopsys,SNPS,-5.73
358,Waters Corporation,WAT,-5.82
359,Starbucks,SBUX,-5.87
360,Dayforce,DAY,-5.92
361,MGM Resorts,MGM,-6.03
362,Blackstone Inc.,BX,-6.05
363,Paccar,PCAR,-6.26
364,Pfizer,PFE,-6.35
365,M&T Bank,MTB,-6.55
366,Norwegian Cruise Line Holdings,NCLH,-7.29
367,Honeywell,HON,-7.43
368,Halliburton,HAL,-7.52
369,Henry Schein,HSIC,-7.57
370,Packaging Corporation of America,PKG,-7.72
371,"Block, Inc.",XYZ,-7.72
372,Progressive Corporation,PGR,-7.73
373,W. W. Grainger,GWW,-7.82
374,Healthpeak Properties,DOC,-8.09
375,Essex Property Trust,ESS,-8.26
376,Kimberly-Clark,KMB,-8.38
377,Dover Corporation,DOV,-8.57
378,T. Rowe Price,TROW,-8.59
379,Coterra,CTRA,-8.69
380,Tyson Foods,TSN,-8.88
381,Paychex,PAYX,-9.23
382,CDW,CDW,-9.41
383,Procter & Gamble,PG,-9.47
384,Cognizant,CTSH,-9.75
385,"Nike, Inc.",NKE,-9.75
386,Lennox International,LII,-9.81
387,MSCI,MSCI,-9.93
388,Ameriprise Financial,AMP,-9.99
389,Tyler Technologies,TYL,-10.15
390,Dexcom,DXCM,-10.22
391,Invitation Homes,INVH,-10.24
392,Fortinet,FTNT,-10.39
393,Pool Corporation,POOL,-10.40
394,Omnicom Group,OMC,-10.58
395,Ball Corporation,BALL,-10.60
396,Zoetis,ZTS,-10.75
397,Camden Property Trust,CPT,-10.88
398,Marsh McLennan,MMC,-11.26
399,Texas Instruments,TXN,-11.34
400,Equifax,EFX,-11.39
401,International Paper,IP,-11.45
402,ServiceNow,NOW,-11.56
403,Bio-Techne,TECH,-11.67
404,Federal Realty Investment Trust,FRT,-11.67
405,Stanley Black & Decker,SWK,-11.75
406,Jack Henry & Associates,JKHY,-11.94
407,Builders FirstSource,BLDR,-11.96
408,Ingersoll Rand,IR,-12.04
409,Air Products,APD,-12.06
410,McCormick & Company,MKC,-12.26
411,Merck & Co.,MRK,-12.28
412,Avery Dennison,AVY,-12.60
413,PPG Industries,PPG,-12.61
414,Schlumberger,SLB,-12.72
415,Equinix,EQIX,-12.74
416,Carrier Global,CARR,-12.75
417,ConocoPhillips,COP,-12.88
418,EOG Resources,EOG,-13.17
419,Revvity,RVTY,-13.18
420,Fortive,FTV,-13.30
421,FedEx,FDX,-13.30
